Tích cực,Trung tính,Tiêu Cực,Toxic
Cải thiện,Đường,liemhaihondai,
Nâng cao,Xe,navi,
May mắn,Sách,tuổi,
Cơ hội,Bút,Buồn,
Thuận lợi,Bàn,Chán,
Thành công,Ghế,Giận,
,Đi,Ghét,
,Đứng,Hận,
,Ngồi,Khổ,
,Nằm,Đau,
,Ăn,Sợ,
,Uống,Lo lắng,
,Nói,Xấu hổ,
,Nghe,Tủi thân,
,Nhìn,Cô đơn,
,Làm,Thất vọng,
,Nghĩ,Xấu,
,Cao,Ác,
,Thấp,Độc ác,
,To,Gian,
,Nhỏ,Dối,
,Dài,Lười,
,Ngắn,Hèn,
,Tròn,Nhát,
,Vuông,Kiêu căng,
,Nóng,Ích kỷ,
,Lạnh,Tham lam,
,Trắng,Ghen tị,
,Đen,Đố kỵ,
,Nay,Trộm,
,Mai,Cướp,
,Hôm,Giết,
,Qua,Phá,
,Trước,Hủy,
,Sau,Lừa,
,Trên,Gạt,
,Dưới,Thua,
,Trong,Bại,
,Ngoài,Thất bại,
,Một,Mất,
,Hai,Thiếu,
,Ba,Hỏng,
,Bốn,Vỡ,
,Nhiều,Bệnh,
,Ít,Chết,
,Tôi,Tệ,
,Anh,Dở,
,Chị,Xấu xí,
,Em,Bẩn thỉu,
,Nó,Nguy hiểm,
,Họ,Ám ảnh,
,Ai,Sỉ nhục,
,Gì,Lăng mạ,
,Nào,Căm thù,
,Đây,Ghen ghét,
,Đó,Đố kỵ,
,Kia,Thù hận,
,con cá,Dối trá,
,,Lừa dối,
,,Phản bội,
,,Áp lực,
,,Căng thẳng,
,,Tự ti,
,,Tuyệt vọng,
,,Nghiện,
,,Rượu chè,
,,Ma túy,
,,Cờ bạc,
,,Mê tín,
,,scam,
,,cay,
,,về nhà đi,
,,khổ,
,,bất hiếu,
